,Id,Speed,RPM,Engine Load,Gear No._DBSCAN
463,133941,1,927,36,0.0
464,133940,0,749,50,0.0
465,133939,0,775,50,0.0
466,133938,0,779,49,0.0
467,133937,1,894,92,0.0
468,133981,7,936,14,0.0
469,133980,7,913,43,0.0
470,133979,11,1434,42,-1.0
471,133978,14,1649,3,-1.0
472,133977,3,888,0,0.0
473,134020,3,876,37,0.0
474,134019,3,928,43,0.0
475,134018,1,1207,57,0.0
476,134017,5,888,45,0.0
477,134013,5,870,51,0.0
478,134070,7,898,32,0.0
479,141353,7,898,32,0.0
480,141352,8,1344,60,-1.0
481,134069,8,1344,60,-1.0
482,134068,5,881,30,0.0
483,141351,5,881,30,0.0
484,134067,6,815,98,0.0
485,141370,6,815,98,0.0
486,141369,6,3,23,0.0
487,134066,6,3,23,0.0
488,141368,6,1511,10,0.0
489,141367,6,988,9,0.0
490,141366,13,934,51,0.0
491,141393,13,890,46,0.0
492,141391,7,903,38,0.0
493,141390,6,966,40,0.0
494,141389,1,908,35,0.0
495,141388,0,751,49,0.0
496,141426,0,778,47,0.0
497,141425,0,781,46,0.0
498,141424,0,779,46,0.0
499,141423,0,781,46,0.0
500,141422,0,778,46,0.0
501,141454,0,778,46,0.0
502,141453,0,779,46,0.0
503,141452,0,777,48,0.0
504,141451,0,781,47,0.0
505,141450,0,778,47,0.0
506,141486,0,779,49,0.0
507,141484,0,782,48,0.0
508,141482,0,778,48,0.0
509,141480,0,781,48,0.0
510,141478,0,781,49,0.0
511,141514,0,778,49,0.0
512,141513,0,779,49,0.0
513,141512,0,782,48,0.0
514,141511,0,780,47,0.0
515,141510,0,781,49,0.0
516,141633,0,777,49,0.0
517,134325,0,782,48,0.0
518,134369,0,780,49,0.0
519,134368,0,782,49,0.0
520,134367,0,776,50,0.0
521,134366,0,782,49,0.0
522,134362,0,779,49,0.0
523,134403,0,778,50,0.0
524,134402,0,780,49,0.0
525,134401,0,781,49,0.0
526,134400,0,783,48,0.0
527,134399,12,1534,43,-1.0
528,134436,14,1026,72,2.0
529,141632,14,1026,72,2.0
530,134435,17,1153,14,2.0
531,141631,17,1153,14,2.0
532,141630,17,1236,43,2.0
533,134434,17,1236,43,2.0
534,134433,20,1394,42,2.0
535,141629,20,1394,42,2.0
536,134432,21,1514,9,2.0
537,141743,21,1514,9,2.0
538,134485,20,1395,5,2.0
539,134484,10,883,25,0.0
540,134483,9,923,23,0.0
541,134482,6,920,0,0.0
542,134481,5,920,25,0.0
543,141742,7,888,25,0.0
544,141741,7,894,36,0.0
545,141740,6,919,36,0.0
546,141739,2,918,35,0.0
547,141863,0,920,0,0.0
548,141862,0,746,27,0.0
549,134572,0,779,46,0.0
550,134571,0,777,46,0.0
551,134570,0,0,46,0.0
552,134569,0,0,46,0.0
553,134568,0,783,47,0.0
554,134563,0,781,47,0.0
555,134594,0,779,47,0.0
556,134593,0,775,47,0.0
557,134590,0,779,46,0.0
558,134643,0,777,48,0.0
559,134642,0,778,47,0.0
560,134641,0,781,48,0.0
561,134640,0,778,48,0.0
562,134639,0,778,48,0.0
563,134687,0,780,49,0.0
564,134686,0,778,47,0.0
565,134685,0,780,49,0.0
566,134684,0,779,49,0.0
567,134683,0,782,49,0.0
568,134721,0,780,49,0.0
569,134720,0,781,49,0.0
570,134719,0,778,48,0.0
571,134718,0,782,50,0.0
572,134717,0,782,50,0.0
573,134772,0,780,49,0.0
574,141861,0,780,49,0.0
575,134771,0,783,50,0.0
576,141860,0,783,50,0.0
577,141859,0,782,50,0.0
578,134770,0,782,50,0.0
579,142009,0,780,49,0.0
580,134769,0,780,49,0.0
581,142006,0,780,50,0.0
582,134768,0,780,50,0.0
583,134821,0,781,50,0.0
584,134820,0,781,50,0.0
585,134819,0,779,50,0.0
586,134818,0,780,49,0.0
587,134817,0,780,49,0.0
588,134859,0,781,51,0.0
589,134858,0,780,50,0.0
590,134857,0,781,50,0.0
591,134856,0,780,50,0.0
592,134855,0,784,51,0.0
593,134893,0,779,50,0.0
594,134892,0,777,49,0.0
595,134891,0,780,50,0.0
596,134890,0,783,48,0.0
597,134889,1,811,29,0.0
598,134929,1,915,28,0.0
599,134928,0,1010,38,0.0
600,134927,14,1824,31,-1.0
601,134926,16,1162,53,2.0
602,134925,20,1384,39,2.0
603,134973,15,1043,3,2.0
604,134972,10,903,82,0.0
605,134971,14,970,0,0.0
606,134970,9,886,32,0.0
607,134969,11,912,73,0.0
608,135025,14,1013,74,2.0
609,135024,7,872,10,0.0
610,135023,8,856,40,0.0
611,135022,6,871,66,0.0
612,135021,6,914,21,0.0
613,135070,6,888,72,0.0
614,135069,8,960,49,0.0
615,135068,14,1000,49,2.0
616,135067,17,1225,11,2.0
617,135066,17,1152,41,2.0
618,135109,19,1340,50,2.0
619,135108,21,1470,14,2.0
620,135107,19,1325,10,2.0
621,135106,21,1468,32,2.0
622,135105,23,1599,17,2.0
623,135153,24,1692,32,2.0
624,135152,25,1750,16,2.0
625,135151,27,1819,18,2.0
626,135150,29,1311,61,3.0
627,135149,33,1478,19,3.0
628,135190,33,1463,28,3.0
629,135189,33,1495,32,3.0
630,135188,34,1592,34,3.0
631,135187,37,1685,41,3.0
632,135186,41,1327,66,4.0
633,135235,43,1433,19,4.0
634,135234,41,1322,0,0.0
635,135233,42,1378,54,4.0
636,135232,48,1541,58,4.0
637,135231,54,1761,82,4.0
638,135256,51,1646,0,0.0
639,142005,51,1646,0,0.0
640,142003,48,1576,57,4.0
641,135255,48,1576,57,4.0
642,142001,49,1587,6,4.0
643,135254,49,1587,6,4.0
644,135253,47,1504,19,4.0
645,142125,47,1504,19,4.0
646,142124,46,1491,6,4.0
647,135252,46,1491,6,4.0
648,135311,46,1462,2,4.0
649,135309,43,1403,41,4.0
650,135308,45,1438,3,4.0
651,135307,41,1310,41,4.0
652,135306,45,1444,52,4.0
653,135334,45,1428,11,4.0
654,135333,43,1391,7,4.0
655,135332,43,1400,25,4.0
656,135331,44,1423,46,4.0
657,135330,46,1462,12,4.0
658,135372,44,1424,10,4.0
659,135371,42,1357,29,4.0
660,135370,42,1358,45,4.0
661,135369,42,1357,45,4.0
662,135368,39,1257,12,4.0
663,135422,33,880,16,0.0
664,135421,29,911,25,0.0
665,135420,23,916,23,0.0
666,135419,19,1272,23,2.0
667,135418,21,1699,42,0.0
668,135474,24,1681,3,2.0
669,135473,19,1409,0,0.0
670,135472,19,1334,21,2.0
671,135471,19,1280,4,2.0
672,135470,13,875,17,0.0
673,135500,13,1168,75,0.0
674,135499,27,1836,3,2.0
675,135498,24,1570,0,0.0
676,135497,21,1457,45,2.0
677,135496,20,1278,0,0.0
678,142123,19,1418,27,2.0
679,142122,25,1781,34,2.0
680,142121,29,2122,54,2.0
681,142212,34,1582,40,3.0
682,142211,31,1408,0,0.0
683,142210,28,1294,43,3.0
684,135552,32,1462,32,3.0
685,135551,39,1753,62,3.0
686,135550,37,1663,0,0.0
687,135549,32,1415,27,3.0
688,135587,31,1403,1,3.0
689,135586,29,1278,5,3.0
690,135585,24,1092,0,0.0
691,135584,14,939,18,0.0
692,135583,21,1496,38,2.0
693,135617,20,1438,14,2.0
694,135616,24,1686,14,2.0
695,135615,24,1682,24,2.0
696,135614,29,2013,28,2.0
697,135613,23,1602,0,0.0
698,135640,23,1609,4,2.0
699,135639,18,1281,0,0.0
700,135638,15,1045,39,2.0
701,135637,14,1002,12,2.0
702,135636,12,881,42,0.0
703,135680,14,959,72,0.0
704,135679,16,1154,45,2.0
705,135678,23,1636,48,2.0
706,135677,25,1753,11,2.0
707,135676,21,1463,2,2.0
708,142209,20,1371,12,2.0
709,135743,20,1371,12,2.0
710,135742,16,1122,12,2.0
711,142208,16,1122,12,2.0
712,142305,25,1776,54,2.0
713,135741,25,1776,54,2.0
714,142304,35,2420,41,2.0
715,135740,35,2420,41,2.0
716,142303,38,1716,49,3.0
717,135739,38,1716,49,3.0
718,142302,37,1637,1,3.0
719,142301,27,1200,0,0.0
720,142437,26,1182,7,3.0
721,142436,24,991,12,0.0
722,142435,22,1022,12,3.0
723,142434,26,1170,58,3.0
724,135795,27,1196,46,3.0
725,135794,28,1271,46,3.0
726,135793,26,1199,5,3.0
727,135792,29,0,60,3.0
728,135791,36,1536,55,3.0
729,135834,30,1536,0,0.0
730,135833,27,64,6,0.0
731,135832,27,1233,39,3.0
732,135831,28,1287,61,3.0
733,135867,32,1443,30,3.0
